Component,Location,Type,JSXCount,HasStatefulLogic,HasUIElements,Exports,FileSizeBytes,DependsOnMUI,UsesInternalPath,ExtractedExportName,SharingPotential,Category
index,pages\4-Reference\04-measList\index.jsx,Unknown,1,No,Yes,Yes,853,No,No,,Low,App-Specific
index,pages\5-Mapping\02-taskList\index.jsx,Unknown,1,No,Yes,Yes,1194,No,No,,Low,App-Specific
index,pages\5-Mapping\03-rcpeList\index.jsx,Unknown,1,No,Yes,Yes,1175,No,No,,Low,App-Specific
index,pages\9-Admin\01-acctList\index.jsx,Unknown,1,No,Yes,Yes,853,No,No,,Low,App-Specific
index,pages\9-Admin\02-userList\index.jsx,Unknown,1,No,Yes,Yes,847,No,No,,Low,App-Specific
accountService,services\accountService.js,Unknown,0,No,No,Yes,3109,No,No,,Low,Needs Review
navService,services\navService.js,FunctionalComponent,0,No,No,Yes,3028,No,No,,Low,Needs Review
accountStore,stores\accountStore.jsx,FunctionalComponent,0,Yes,No,Yes,8335,No,No,AccountContext,Low,Needs Review
authStore,stores\authStore.js,FunctionalComponent,0,No,No,Yes,3021,No,No,useAuthStore,Low,Needs Review
breadcrumbStore,stores\breadcrumbStore.js,Unknown,0,No,No,Yes,1436,No,No,useBreadcrumbStore,Low,Needs Review
dataStore,stores\dataStore.js,Unknown,0,Yes,No,Yes,5794,No,No,,Low,Needs Review
eventStore,stores\eventStore.js,FunctionalComponent,0,No,No,Yes,3048,No,No,isEventTypeServiceInitialized,Low,Needs Review
index,stores\index.js,FunctionalComponent,0,No,No,Yes,1069,No,No,getEventTypeConfig,Low,Needs Review
navigationStore,stores\navigationStore.js,Unknown,9,Yes,Yes,Yes,6597,Yes,No,,Low,Needs Review
pageStore,stores\pageStore.jsx,FunctionalComponent,0,Yes,No,Yes,2045,No,No,PageContext,Low,App-Specific
paramStore,stores\paramStore.js,Unknown,0,Yes,No,Yes,2154,No,No,,Low,Needs Review
sessionStore,stores\sessionStore.js,FunctionalComponent,1,Yes,Yes,Yes,5301,No,No,setUserSession,Low,Needs Review
tracker,tracker\tracker.js,Unknown,0,No,No,Yes,121,No,No,,Low,Needs Review
TrackingProvider,tracker\TrackingProvider.js,Unknown,0,No,No,No,124,No,No,,Low,Needs Review
dmlStore,utils\DML\store\dmlStore.jsx,Unknown,6,Yes,Yes,Yes,5333,Yes,No,executeDml,Low,Needs Review
buildRequest,utils\DML\buildRequest.js,FunctionalComponent,0,No,No,Yes,1693,No,No,buildDmlRequest,Low,Needs Review
buildSql,utils\DML\buildSql.js,FunctionalComponent,0,Yes,No,Yes,2437,No,No,buildSqlStatement,Low,Needs Review
crudDML,utils\DML\crudDML.jsx,Unknown,2,No,Yes,Yes,1951,No,No,,Low,Needs Review
index,utils\DML\index.js,FunctionalComponent,0,Yes,No,Yes,7771,No,No,executeDml,Low,Needs Review
previewSql,utils\DML\previewSql.jsx,FunctionalComponent,1,No,Yes,Yes,2825,No,No,previewSql,Low,App-Specific
accountManager,utils\accountManager.js,FunctionalComponent,0,No,No,Yes,4462,No,No,setAccount,Low,Needs Review
acctLists,utils\acctLists.js,FunctionalComponent,0,No,No,Yes,4170,No,No,fetchAndCacheVndrList,Low,Needs Review
dataFetcher,utils\dataFetcher.js,Unknown,0,No,No,Yes,485,No,No,fetchData,Low,Needs Review
entityHelpers,utils\entityHelpers.js,FunctionalComponent,0,No,No,Yes,871,No,No,setEntityId,Low,Needs Review
fetchLogHelper,utils\fetchLogHelper.js,FunctionalComponent,0,No,No,Yes,1753,No,No,setupFetchLogging,Low,Needs Review
logger,utils\logger.js,FunctionalComponent,0,No,No,Yes,3796,No,No,createLogger,Low,Needs Review
MinViableProd,utils\MinViableProd.js,Unknown,0,Yes,No,Yes,689,No,No,,Low,Needs Review
mobxHelpers,utils\mobxHelpers.js,FunctionalComponent,0,Yes,No,Yes,1168,No,No,safeProp,Low,Needs Review
navHelper,utils\navHelper.js,FunctionalComponent,0,No,No,Yes,1011,No,No,getRoutesBySection,Low,Needs Review
App,App.jsx,FunctionalComponent,32,Yes,Yes,Yes,8639,Yes,No,,Medium,Needs Review
App.test,App.test.jsx,Unknown,1,No,Yes,No,246,No,No,,Low,Needs Review
index,index.js,Unknown,2,No,Yes,No,470,No,No,,Low,Needs Review
reportWebVitals,reportWebVitals.js,Unknown,0,No,No,Yes,362,No,No,,Low,Needs Review
TestMonorepo,TestMonorepo.jsx,FunctionalComponent,0,No,No,Yes,318,No,No,,Low,Needs Review
theme,theme.js,Unknown,0,No,No,Yes,6551,Yes,No,themeOptions,Low,Needs Review
tracker,tracker.js,FunctionalComponent,0,No,No,Yes,1540,No,No,,Low,Needs Review
